ID,Lat,Lon,SST,SSTd,hurMaxWind,hurMinPressure,hurRadius,Next Lat,Next Lon,Next hurMaxWind,Next hurMinPressure,Next hurRadius
AL192023 - 1011 12h,10.7,-33.7,285.65,-6.2,35,1006,80,11.3,-34.7,30,1007,60
AL192023 - 1011 18h,11.3,-34.7,272.43,-3.7,30,1007,60,11.8,-35.6,30,1007,40
AL192023 - 1012 00h,11.8,-35.6,295.94,-6.1,30,1007,40,12.3,-36.4,30,1007,40
AL192023 - 1012 06h,12.3,-36.4,295.94,-6.1,30,1007,40,12.8,-37.1,35,1006,40
AL192023 - 1012 12h,12.8,-37.1,295.91,-5.7,35,1006,40,13.3,-37.8,40,1005,40
AL192023 - 1012 18h,13.3,-37.8,281.66,5.8,40,1005,40,13.7,-39.0,40,1005,40
AL192023 - 1013 00h,13.7,-39.0,300.88,-0.9,40,1005,40,14.0,-40.1,40,1005,40
AL192023 - 1013 06h,14.0,-40.1,276.93,0.8,40,1005,40,14.3,-41.2,35,1006,40
AL192023 - 1013 12h,14.3,-41.2,297.3,-4.6,35,1006,40,14.6,-42.2,35,1006,40
AL192023 - 1013 18h,14.6,-42.2,296.05,-6.2,35,1006,40,14.9,-42.7,35,1006,40
AL192023 - 1014 00h,14.9,-42.7,293.83,-8.0,35,1006,40,15.3,-43.3,30,1007,40
AL192023 - 1014 06h,15.3,-43.3,293.83,-8.0,30,1007,40,15.8,-43.9,30,1007,40
AL192023 - 1014 12h,15.8,-43.9,293.18,-6.0,30,1007,40,16.3,-44.5,30,1007,40
AL192023 - 1014 18h,16.3,-44.5,293.18,-6.0,30,1007,40,16.8,-45.1,30,1008,40
AL192023 - 1015 00h,16.8,-45.1,297.84,-4.0,30,1008,40,17.3,-45.8,30,1009,40
AL192023 - 1015 06h,17.3,-45.8,301.75,-0.1,30,1009,40,17.6,-46.6,25,1010,40
AL192023 - 1015 12h,17.6,-46.6,292.98,-8.7,25,1010,40,17.9,-47.6,25,1010,40
AL192023 - 1015 18h,17.9,-47.6,289.95,-11.8,25,1010,40,18.1,-48.6,25,1011,40
AL192023 - 1016 00h,18.1,-48.6,300.54,-1.4,25,1011,40,18.2,-49.8,25,1011,40
AL192023 - 1016 06h,18.2,-49.8,279.07,2.6,25,1011,40,18.3,-51.0,20,1011,40
AL192023 - 1016 12h,18.3,-51.0,302.17,0.0,20,1011,40,18.4,-52.2,20,1011,40
AL202023 - 1018 18h,12.9,-51.0,287.85,-6.9,35,1007,80,13.0,-52.5,35,1006,60
AL202023 - 1019 00h,13.0,-52.5,284.64,-6.9,35,1006,60,13.2,-54.0,45,1004,60
AL202023 - 1019 06h,13.2,-54.0,287.43,-7.2,45,1004,60,13.4,-55.3,50,1004,50
AL202023 - 1019 12h,13.4,-55.3,287.89,-7.1,50,1004,50,13.5,-56.4,50,1002,50
AL202023 - 1019 18h,13.5,-56.4,292.54,-7.3,50,1002,50,13.6,-57.2,50,1001,50
AL202023 - 1020 00h,13.6,-57.2,290.21,-7.3,50,1001,50,13.7,-57.9,50,1000,50
AL202023 - 1020 06h,13.7,-57.9,290.08,-7.4,50,1000,50,13.9,-58.4,60,997,40
AL202023 - 1020 12h,13.9,-58.4,290.08,-7.4,60,997,40,14.1,-58.9,65,991,20
